Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
14.372744907503357,,,,,,,,4.222131746037558,,,,,,,,,,
14.39193699019585,,,,,,,,4.204469413911647,,,,,,,,,,
14.411154700285243,,,,,,,,4.1868809681528205,,,,,,,,,,
14.430398071992057,,,,,,,,4.169366099674213,,,,,,,,,,
14.449667139582534,,,,,,,,4.151924500681926,,,,,,,,,,
14.46896193736867,,,,,,,,4.134555864669654,,,,,,,,,,
14.488282499708271,,,,,,,,4.117259886413293,,,,,,,,,,
14.507628861005031,,,,,,,,4.100036261965572,,,,,,,,,,
14.527001055708574,,,,,,,,4.082884688650716,,,,,,,,,,
14.546399118314532,,,,,,,,4.065804865059126,,,,,,,,,,
14.565823083364595,,,,,,,,4.04879649104208,,,,,,,,,,
14.585272985446577,,,,,,,,4.031859267706463,,,,,,,,,,
14.604748859194483,,,,,,,,4.014992897409508,,,,,,,,,,
14.624250739288566,,,,,,,,3.9981970837535683,,,,,,,,,,
14.64377866045537,,,,,,,,3.981471531580923,,,,,,,,,,
14.663332657467826,,,,,,,,3.9648159469685607,,,,,,,,,,
14.6829127651453,,,,,,,,3.9482300372230354,,,,,,,,,,
14.702519018353644,,,,,,,,3.931713510875318,,,,,,,,,,
14.72215145200527,,,,,,,,3.915266077675676,,,,,,,,,,
14.74181010105921,,,,,,,,3.898887448588569,,,,,,,,,,
14.761495000521174,,,,,,,,3.8825773357875715,,,,,,,,,,
14.78120618544362,,,,,,,,3.8663354526503153,,,,,,,,,,
14.800943690925807,,,,,,,,3.850161513753451,,,,,,,,,,
14.820707552113868,,,,,,,,3.8340552348676344,,,,,,,,,,
14.840497804200862,,,,,,,,3.8180163329525283,,,,,,,,,,
14.860314482426842,,,,,,,,3.8020445261518345,,,,,,,,,,
14.88015762207893,,,,,,,,3.7861395337883277,,,,,,,,,,
14.900027258491336,,,,,,,,3.77030107635895,,,,,,,,,,
14.919923427045486,,,,,,,,3.7545288755298656,,,,,,,,,,
14.939846163170035,,,,,,,,3.738822654131588,,,,,,,,,,
14.959795502340949,,,,,,,,3.7231821361541106,,,,,,,,,,
14.979771480081563,,,,,,,,3.7076070467420488,,,,,,,,,,
14.999774131962653,,,,,,,,3.6920971121898147,,,,,,,,,,
15.019803493602486,,,,,,,,3.676652059936805,,,,,,,,,,
15.039859600666896,,,,,,,,3.6612716185626133,,,,,,,,,,
15.059942488869337,,,,,,,,3.6459555177822573,,,,,,,,,,
15.080052193970955,,,,,,,,3.6307034884414313,,,,,,,,,,
15.10018875178065,,,,,,,,3.6155152625117775,,,,,,,,,,
15.12035219815513,,,,,,,,3.600390573086172,,,,,,,,,,
15.140542568999,,,,,,,,3.58532915437403,,,,,,,,,,
15.16075990026478,,,,,,,,3.5703307416966616,,,,,,,,,,
15.181004227953025,,,,,,,,3.5553950714825797,,,,,,,,,,
15.201275588112347,,,,,,,,3.540521881262896,,,,,,,,,,
15.221574016839503,,,,,,,,3.5257109096667034,,,,,,,,,,
15.241899550279445,,,,,,,,3.5109618964164775,,,,,,,,,,
15.262252224625389,,,,,,,,3.496274582323508,,,,,,,,,,
15.282632076118885,,,,,,,,3.4816487092833412,,,,,,,,,,
15.303039141049872,,,,,,,,3.467084020271245,,,,,,,,,,
15.32347345575675,,,,,,,,3.4525802593376915,,,,,,,,,,
15.343935056626442,,,,,,,,3.4381371716038602,,,,,,,,,,
15.364423980094456,,,,,,,,3.42375450325716,,,,,,,,,,
15.384940262644957,,,,,,,,3.409432001546765,,,,,,,,,,
15.405483940810834,,,,,,,,3.395169414779171,,,,,,,,,,
15.426055051173732,,,,,,,,3.3809664923137914,,,,,,,,,,
15.446653630364171,,,,,,,,3.3668229845585222,,,,,,,,,,
15.467279715061576,,,,,,,,3.352738642965379,,,,,,,,,,
15.48793334199435,,,,,,,,3.3387132200261185,,,,,,,,,,
15.508614547939938,,,,,,,,3.3247464692678936,,,,,,,,,,
15.5293233697249,,,,,,,,3.310838145248921,,,,,,,,,,
15.550059844224961,,,,,,,,3.296988003554165,,,,,,,,,,
15.570824008365097,,,,,,,,3.2831958007910487,,,,,,,,,,
15.591615899119585,,,,,,,,3.269461294585169,,,,,,,,,,
15.612435553512073,,,,,,,,3.255784243576045,,,,,,,,,,
15.633283008615658,,,,,,,,3.242164407412865,,,,,,,,,,
15.654158301552908,,,,,,,,3.2286015467502915,,,,,,,,,,
15.675061469496017,,,,,,,,3.2150954232441986,,,,,,,,,,
15.69599254966676,,,,,,,,3.2016457995475545,,,,,,,,,,
15.716951579336648,,,,,,,,3.1882524393061953,,,,,,,,,,
15.737938595826948,,,,,,,,3.1749151071546953,,,,,,,,,,
15.75895363650877,,,,,,,,3.1616335687122277,,,,,,,,,,
15.779996738803117,,,,,,,,3.1484075905784437,,,,,,,,,,
15.80106794018097,,,,,,,,3.135236940329373,,,,,,,,,,
15.822167278163336,,,,,,,,3.1221213865133377,,,,,,,,,,
15.843294790321336,,,,,,,,3.109060698646887,,,,,,,,,,
15.864450514276248,,,,,,,,3.096054647210743,,,,,,,,,,
15.885634487699594,,,,,,,,3.083103003645771,,,,,,,,,,
15.906846748313203,,,,,,,,3.0702055403489585,,,,,,,,,,
15.928087333889254,,,,,,,,3.0573620306694296,,,,,,,,,,
15.949356282250383,,,,,,,,3.0445722489044402,,,,,,,,,,
15.970653631269727,,,,,,,,3.0318359702954245,,,,,,,,,,
15.991979418870994,,,,,,,,3.0191529710240443,,,,,,,,,,
16.013333683028534,,,,,,,,3.0065230282082562,,,,,,,,,,
16.0347164617674,,,,,,,,2.993945919898391,,,,,,,,,,
16.05612779316342,,,,,,,,2.9814214250732562,,,,,,,,,,
16.07756771534327,,,,,,,,2.9689493236362527,,,,,,,,,,
16.099036266484543,,,,,,,,2.956529396411505,,,,,,,,,,
16.12053348481579,,,,,,,,2.9441614251400097,,,,,,,,,,
16.14205940861663,,,,,,,,2.9318451924758007,,,,,,,,,,
16.163614076217783,,,,,,,,2.919580481982131,,,,,,,,,,
16.185197526001172,,,,,,,,2.9073670781276606,,,,,,,,,,
16.20680979639994,,,,,,,,2.8952047662826916,,,,,,,,,,
16.228450925898578,,,,,,,,2.883093332715367,,,,,,,,,,
